Locais,10h,11h,12h,13h,16h,17h,18h,19h,Dia_da_semana
C1 - Ponto de Ônibus,5,5,14,6,13,16,10,9,1
C2 - Floreira com bancos,3,2,6,8,3,1,4,2,1
C3 - Junto ao Parque,5,4,7,11,10,8,6,30,1
C4 - Banca de Jornal,8,7,7,6,2,3,5,8,1
V1 - Proximidade da entrada,4,6,2,3,1,1,1,1,1
V2 - Junto à calçada,4,4,2,4,5,7,13,18,1
V3 - Meio do Vão,3,7,6,7,4,3,1,3,1
V4 - Pilares Plinio,5,3,4,5,1,2,3,2,1
M1 - Área dos Funcionários,2,0,2,4,0,0,0,0,1
M2 - Largo do Mirante,0,1,3,1,0,0,0,0,1
M3 - Assentos na mureta,11,12,12,12,23,32,13,27,1
M4 - Canto Plinio,1,2,3,4,3,5,18,8,1
C1 - Ponto de Ônibus,5,2,7,10,11,11,13,12,2
C2 - Floreira com bancos,4,4,12,7,9,3,4,3,2
C3 - Junto ao Parque,6,10,8,8,7,8,11,17,2
C4 - Banca de Jornal,5,10,6,6,2,5,4,8,2
V1 - Proximidade da entrada,69,89,179,209,154,138,183,94,2
V2 - Junto à calçada,31,34,35,64,0,4,6,5,2
V3 - Meio do Vão,20,16,15,16,10,3,3,1,2
V4 - Pilares Plinio,3,4,4,1,7,5,4,7,2
M1 - Área dos Funcionários,0,0,0,0,3,0,4,2,2
M2 - Largo do Mirante,0,0,0,0,3,0,1,7,2
M3 - Assentos na mureta,12,8,23,12,36,28,36,26,2
M4 - Canto Plinio,5,14,8,9,9,21,4,2,2
C1 - Ponto de Ônibus,6,4,23,3,13,8,6,3,6
C2 - Floreira com bancos,42,33,56,39,16,15,15,5,6
C3 - Junto ao Parque,36,52,46,70,39,47,24,12,6
C4 - Banca de Jornal,17,21,21,19,13,14,12,5,6
V1 - Proximidade da entrada,66,23,21,30,0,5,2,0,6
V2 - Junto à calçada,3,1,7,5,2,1,8,2,6
V3 - Meio do Vão,12,13,9,19,18,14,11,7,6
V4 - Pilares Plinio,13,1,1,1,2,2,1,1,6
M1 - Área dos Funcionários,0,1,0,2,0,0,0,0,6
M2 - Largo do Mirante,0,1,1,4,0,0,2,0,6
M3 - Assentos na mureta,9,21,17,23,35,57,22,25,6
M4 - Canto Plinio,3,1,3,5,21,6,15,9,6
C1 - Ponto de Ônibus,2,7,7,8,4,0,10,7,7
C2 - Floreira com bancos,25,54,41,47,35,12,3,4,7
C3 - Junto ao Parque,25,35,31,31,133,97,39,21,7
C4 - Banca de Jornal,16,23,42,23,13,10,6,3,7
V1 - Proximidade da entrada,0,2,19,0,7,6,1,1,7
V2 - Junto à calçada,0,0,0,0,2,5,3,1,7
V3 - Meio do Vão,80,80,384,685,77,23,8,8,7
V4 - Pilares Plinio,0,0,0,0,3,0,0,0,7
M1 - Área dos Funcionários,0,0,0,1,0,0,1,0,7
M2 - Largo do Mirante,3,11,15,11,6,6,2,2,7
M3 - Assentos na mureta,29,42,67,60,56,50,38,28,7
M4 - Canto Plinio,6,4,13,6,25,26,9,12,7
